2023-10-22 11:47:10.973 | http-nio-8802-exec-3raceId | WARN  | 19844 | http-nio-8802-exec-3 | org.springframework.web.servlet.DispatcherServlet.noHandlerFound(DispatcherServlet.java:1282) : No mapping for GET /images/bookundefined
2023-10-22 11:47:14.541 | http-nio-8802-exec-7raceId | WARN  | 19844 | http-nio-8802-exec-7 | org.springframework.web.servlet.DispatcherServlet.noHandlerFound(DispatcherServlet.java:1282) : No mapping for GET /images/bookundefined
2023-10-22 11:47:17.391 | http-nio-8802-exec-10raceId | WARN  | 19844 | http-nio-8802-exec-10 | org.springframework.web.servlet.DispatcherServlet.noHandlerFound(DispatcherServlet.java:1282) : No mapping for GET /images/bookundefined
2023-10-22 11:47:20.485 | http-nio-8802-exec-4raceId | WARN  | 19844 | http-nio-8802-exec-4 | org.springframework.web.servlet.DispatcherServlet.noHandlerFound(DispatcherServlet.java:1282) : No mapping for GET /images/bookundefined
2023-10-22 11:47:23.156 | http-nio-8802-exec-6raceId | WARN  | 19844 | http-nio-8802-exec-6 | org.springframework.web.servlet.DispatcherServlet.noHandlerFound(DispatcherServlet.java:1282) : No mapping for GET /images/bookundefined
2023-10-22 11:47:24.870 | http-nio-8802-exec-8raceId | WARN  | 19844 | http-nio-8802-exec-8 | org.springframework.web.servlet.DispatcherServlet.noHandlerFound(DispatcherServlet.java:1282) : No mapping for GET /images/bookundefined
2023-10-22 11:47:31.663 | http-nio-8802-exec-1raceId | WARN  | 19844 | http-nio-8802-exec-1 | org.springframework.web.servlet.DispatcherServlet.noHandlerFound(DispatcherServlet.java:1282) : No mapping for GET /images/bookundefined
2023-10-22 11:47:36.054 | http-nio-8802-exec-5raceId | WARN  | 19844 | http-nio-8802-exec-5 | org.springframework.web.servlet.DispatcherServlet.noHandlerFound(DispatcherServlet.java:1282) : No mapping for GET /images/bookundefined
2023-10-22 11:47:40.347 | http-nio-8802-exec-9raceId | WARN  | 19844 | http-nio-8802-exec-9 | org.springframework.web.servlet.DispatcherServlet.noHandlerFound(DispatcherServlet.java:1282) : No mapping for GET /images/bookundefined
2023-10-22 11:47:41.034 | http-nio-8802-exec-2raceId | WARN  | 19844 | http-nio-8802-exec-2 | org.springframework.web.servlet.DispatcherServlet.noHandlerFound(DispatcherServlet.java:1282) : No mapping for GET /images/bookundefined
2023-10-22 11:47:54.315 | http-nio-8802-exec-3raceId | WARN  | 19844 | http-nio-8802-exec-3 | org.springframework.web.servlet.DispatcherServlet.noHandlerFound(DispatcherServlet.java:1282) : No mapping for GET /images/bookundefined
2023-10-22 11:47:56.431 | http-nio-8802-exec-7raceId | WARN  | 19844 | http-nio-8802-exec-7 | org.springframework.web.servlet.DispatcherServlet.noHandlerFound(DispatcherServlet.java:1282) : No mapping for GET /images/bookundefined
2023-10-22 11:47:59.322 | http-nio-8802-exec-10raceId | WARN  | 19844 | http-nio-8802-exec-10 | org.springframework.web.servlet.DispatcherServlet.noHandlerFound(DispatcherServlet.java:1282) : No mapping for GET /images/bookundefined
2023-10-22 11:48:19.341 | http-nio-8802-exec-4raceId | WARN  | 19844 | http-nio-8802-exec-4 | org.springframework.web.servlet.DispatcherServlet.noHandlerFound(DispatcherServlet.java:1282) : No mapping for GET /images/bookundefined
2023-10-22 11:48:24.438 | http-nio-8802-exec-6raceId | WARN  | 19844 | http-nio-8802-exec-6 | org.springframework.web.servlet.DispatcherServlet.noHandlerFound(DispatcherServlet.java:1282) : No mapping for GET /images/bookundefined
2023-10-22 11:48:40.794 | http-nio-8802-exec-2raceId | WARN  | 19844 | http-nio-8802-exec-2 | org.springframework.web.servlet.DispatcherServlet.noHandlerFound(DispatcherServlet.java:1282) : No mapping for GET /images/bookundefined
2023-10-22 11:49:12.032 | http-nio-8802-exec-8raceId | WARN  | 19844 | http-nio-8802-exec-8 | org.springframework.web.servlet.DispatcherServlet.noHandlerFound(DispatcherServlet.java:1282) : No mapping for GET /images/bookundefined
2023-10-22 11:50:40.011 | http-nio-8802-exec-9raceId | WARN  | 19844 | http-nio-8802-exec-9 | org.springframework.web.servlet.DispatcherServlet.noHandlerFound(DispatcherServlet.java:1282) : No mapping for GET /images/bookundefined
2023-10-22 11:52:57.743 | http-nio-8802-exec-2raceId | WARN  | 19844 | http-nio-8802-exec-2 | org.springframework.web.servlet.DispatcherServlet.noHandlerFound(DispatcherServlet.java:1282) : No mapping for GET /images/bookundefined
2023-10-22 11:53:02.493 | http-nio-8802-exec-3raceId | WARN  | 19844 | http-nio-8802-exec-3 | org.springframework.web.servlet.DispatcherServlet.noHandlerFound(DispatcherServlet.java:1282) : No mapping for GET /images/bookundefined
2023-10-22 11:55:04.172 | background-preinitraceId | INFO  | 10276 | background-preinit | org.hibernate.validator.internal.util.Version.<clinit>(Version.java:21) : HV000001: Hibernate Validator 6.2.5.Final
2023-10-22 11:55:04.194 | mainraceId | INFO  | 10276 | main | org.springframework.boot.StartupInfoLogger.logStarting(StartupInfoLogger.java:55) : Starting HenthouseApplication using Java 1.8.0_281 on 无敌暴龙兽 with PID 10276 (D:\桌面\学习\练手项目a\小说网站\henthouse\target\classes started by HASEE in D:\桌面\学习\练手项目a\小说网站\henthouse)
2023-10-22 11:55:04.196 | mainraceId | INFO  | 10276 | main | org.springframework.boot.SpringApplication.logStartupProfileInfo(SpringApplication.java:645) : No active profile set, falling back to 1 default profile: "default"
2023-10-22 11:55:04.941 | mainraceId | INFO  | 10276 | main | org.springframework.data.repository.config.RepositoryConfigurationDelegate.multipleStoresDetected(RepositoryConfigurationDelegate.java:262) : Multiple Spring Data modules found, entering strict repository configuration mode
2023-10-22 11:55:04.942 | mainraceId | INFO  | 10276 | main | org.springframework.data.repository.config.RepositoryConfigurationDelegate.registerRepositoriesIn(RepositoryConfigurationDelegate.java:132) : Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2023-10-22 11:55:04.980 | mainraceId | INFO  | 10276 | main | org.springframework.data.repository.config.RepositoryConfigurationDelegate.registerRepositoriesIn(RepositoryConfigurationDelegate.java:201) : Finished Spring Data repository scanning in 27 ms. Found 0 Redis repository interfaces.
2023-10-22 11:55:05.545 | mainraceId | INFO  | 10276 | main | org.springframework.boot.web.embedded.tomcat.TomcatWebServer.initialize(TomcatWebServer.java:108) : Tomcat initialized with port(s): 8802 (http)
2023-10-22 11:55:05.679 | mainraceId | INFO  | 10276 | main | org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext.prepareWebApplicationContext(ServletWebServerApplicationContext.java:290) : Root WebApplicationContext: initialization completed in 1431 ms
